"filename", "language", "HTML", "JavaScript", "SVG", "CSS", "Python", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py", "Python", 0, 0, 0, 0, 2, -1, 1, 2
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 55, 1, 7, 63
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0002_auto_20231013_1256.py", "Python", 0, 0, 0, 0, 17, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 0, 0, 0, 0, 107, 0, 7, 114
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\settings.py", "Python", 0, 0, 0, 0, 7, 0, 0, 7
"d:\Desktop\LabWeb\LabWebProject\static\css\self\404.css", "CSS", 0, 0, 0, 83, 0, 0, 12, 95
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNews.css", "CSS", 0, 0, 0, 153, 0, 0, 25, 178
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNewsDetail.css", "CSS", 0, 0, 0, 53, 0, 0, 10, 63
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 81, 0, 0, 0, 0, 3, 84
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 166, 0, 0, 0, 0, 11, 177
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\jquery-3-7-1.js", "JavaScript", 0, 1, 0, 0, 0, 1, 1, 3
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\jquery-3.7.1.min.js", "JavaScript", 0, -1, 0, 0, 0, -1, -1, -3
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\sweetalert2.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\static\svg\404.svg", "SVG", 0, 0, 8, 0, 0, 0, 0, 8
"d:\Desktop\LabWeb\LabWebProject\static\svg\rose.svg", "SVG", 0, 0, 28, 0, 0, 1, 1, 30
"d:\Desktop\LabWeb\LabWebProject\templates\404.html", "HTML", 30, 0, 0, 0, 0, 0, 0, 30
"d:\Desktop\LabWeb\LabWebProject\templates\adminNews.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 14
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 65, 249, 36, 289, 188, 2, 83, 912
