"filename", "language", "HTML", "Python", "JavaScript", "SVG", "SQL", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py", "Python", 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0001_initial.py", "Python", 0, 55, 0, 0, 0, 0, 1, 7, 63
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0002_auto_20231013_1256.py", "Python", 0, 17, 0, 0, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py", "Python", 0, 37, 0, 0, 0, 0, 0, 6, 43
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\tests.py", "Python", 0, 1, 0, 0, 0, 0, 1, 2, 4
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 0, 118, 0, 0, 0, 0, 0, 13, 131
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\asgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\settings.py", "Python", 0, 81, 0, 0, 0, 0, 27, 37, 145
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\urls.py", "Python", 0, 8, 0, 0, 0, 0, 15, 4, 27
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 8, 5, 17
"d:\Desktop\LabWeb\LabWebProject\db.sqlite3", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\manage.py", "Python", 0, 15, 0, 0, 0, 0, 3, 5, 23
"d:\Desktop\LabWeb\LabWebProject\static\css\self\404.css", "CSS", 0, 0, 0, 0, 0, 83, 0, 12, 95
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNavigation.css", "CSS", 0, 0, 0, 0, 0, 106, 0, 16, 122
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNews.css", "CSS", 0, 0, 0, 0, 0, 166, 0, 26, 192
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNewsDetail.css", "CSS", 0, 0, 0, 0, 0, 259, 0, 46, 305
"d:\Desktop\LabWeb\LabWebProject\static\css\self\footer.css", "CSS", 0, 0, 0, 0, 0, 66, 0, 13, 79
"d:\Desktop\LabWeb\LabWebProject\static\css\self\main.css", "CSS", 0, 0, 0, 0, 0, 395, 0, 56, 451
"d:\Desktop\LabWeb\LabWebProject\static\css\self\navigation.css", "CSS", 0, 0, 0, 0, 0, 262, 0, 33, 295
"d:\Desktop\LabWeb\LabWebProject\static\css\self\slider.css", "CSS", 0, 0, 0, 0, 0, 150, 0, 21, 171
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 3, 98
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 0, 180, 0, 0, 0, 0, 12, 192
"d:\Desktop\LabWeb\LabWebProject\static\js\self\footer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\self\main.js", "JavaScript", 0, 0, 222, 0, 0, 0, 7, 20, 249
"d:\Desktop\LabWeb\LabWebProject\static\js\self\navigation.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 12, 178
"d:\Desktop\LabWeb\LabWebProject\static\js\self\slider.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 13, 138
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\jquery-3-7-1.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 1, 3
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\sweetalert2.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\static\svg\404.svg", "SVG", 0, 0, 0, 8, 0, 0, 0, 0, 8
"d:\Desktop\LabWeb\LabWebProject\static\svg\achievement.svg", "SVG", 0, 0, 0, 5, 0, 0, 1, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_left.svg", "SVG", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_right.svg", "SVG", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\btn_top.svg", "SVG", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\building.svg", "SVG", 0, 0, 0, 40, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\static\svg\control.svg", "SVG", 0, 0, 0, 32, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\static\svg\dasi.svg", "SVG", 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Desktop\LabWeb\LabWebProject\static\svg\data.svg", "SVG", 0, 0, 0, 20, 0, 0, 1, 1, 22
"d:\Desktop\LabWeb\LabWebProject\static\svg\news.svg", "SVG", 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\Desktop\LabWeb\LabWebProject\static\svg\rose.svg", "SVG", 0, 0, 0, 28, 0, 0, 1, 1, 30
"d:\Desktop\LabWeb\LabWebProject\static\svg\search.svg", "SVG", 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\search_active.svg", "SVG", 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\Desktop\LabWeb\LabWebProject\static\svg\whu.svg", "SVG", 0, 0, 0, 22, 0, 0, 0, 0, 22
"d:\Desktop\LabWeb\LabWebProject\templates\404.html", "HTML", 30, 0, 0, 0, 0, 0, 0, 0, 30
"d:\Desktop\LabWeb\LabWebProject\templates\adminBase.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 33
"d:\Desktop\LabWeb\LabWebProject\templates\adminNews.html", "HTML", 29, 0, 0, 0, 0, 0, 0, 0, 29
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", 76, 0, 0, 0, 0, 0, 0, 0, 76
"d:\Desktop\LabWeb\LabWebProject\templates\base.html", "HTML", 122, 0, 0, 0, 0, 0, 0, 0, 122
"d:\Desktop\LabWeb\LabWebProject\templates\main.html", "HTML", 190, 0, 0, 0, 0, 0, 0, 1, 191
"d:\Desktop\LabWeb\LabWebProject\templates\test.html", "HTML", 57, 0, 0, 0, 0, 0, 2, 1, 60
"Total", "-", 537, 359, 791, 230, 0, 1487, 78, 394, 3876
