"filename", "language", "HTML", "Python", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0003_remove_students_student_address.py", "Python", 0, 11, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0004_rename_students_student.py", "Python", 0, 11, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0005_student_student_show.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 0, 2, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\util.py", "Python", 0, 35, 0, 0, 0, 12, 47
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 0, 274, 0, 0, 0, 16, 290
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\urls.py", "Python", 0, -4, 0, 0, 0, 0, -4
"d:\Desktop\LabWeb\LabWebProject\static\css\self\404.css", "CSS", 0, 0, 0, 21, 0, 3, 24
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNewsDetail.css", "CSS", 0, 0, 0, 0, 0, -6, -6
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminUserDetail.css", "CSS", 0, 0, 0, 349, 0, 56, 405
"d:\Desktop\LabWeb\LabWebProject\static\css\self\signIn.css", "CSS", 0, 0, 0, 278, 0, 44, 322
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datepicker-standalone.css", "CSS", 0, 0, 0, 503, 6, 1, 510
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datepicker.css", "CSS", 0, 0, 0, 470, 6, 1, 477
"d:\Desktop\LabWeb\LabWebProject\static\js\self\404.js", "JavaScript", 0, 0, 14, 0, 0, 0, 14
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 0, -29, 0, 0, 0, -29
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 0, -9, 0, 0, -2, -11
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUserDetail.js", "JavaScript", 0, 0, 185, 0, 0, 9, 194
"d:\Desktop\LabWeb\LabWebProject\static\js\self\signIn.js", "JavaScript", 0, 0, 366, 0, 0, 30, 396
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datepicker-zh-CN.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datepicker.js", "JavaScript", 0, 0, 2, 0, 5, 1, 8
"d:\Desktop\LabWeb\LabWebProject\templates\404.html", "HTML", 3, 0, 0, 0, 0, 0, 3
"d:\Desktop\LabWeb\LabWebProject\templates\adminUserDetail.html", "HTML", 107, 0, 0, 0, 0, 0, 107
"d:\Desktop\LabWeb\LabWebProject\templates\signIn.html", "HTML", 63, 0, 0, 0, 0, 0, 63
"Total", "-", 173, 342, 530, 1621, 20, 183, 2869
