"filename", "language", "Python", "HTML", "SQL", "SVG", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0001_initial.py", "Python", 55, 0, 0, 0, 0, 0, 1, 7, 63
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0002_auto_20231013_1256.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0003_remove_students_student_address.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0004_rename_students_student.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0005_student_student_show.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py", "Python", 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\util.py", "Python", 35, 0, 0, 0, 0, 0, 0, 12, 47
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 392, 0, 0, 0, 0, 0, 0, 29, 421
