"filename", "language", "Python", "HTML", "SVG", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0006_slider.py", "Python", 17, 0, 0, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0007_alter_slider_slider_title.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py", "Python", 6, 0, 0, 0, 0, 0, 2, 8
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\util.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 189, 0, 0, 0, 0, 0, 10, 199
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\asgi.py", "Python", 6, 0, 0, 0, 0, -8, 2, 0
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\settings.py", "Python", 8, 0, 0, 0, 0, -11, 3, 0
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\urls.py", "Python", 14, 0, 0, 0, 0, -15, 0, -1
"d:\Desktop\LabWeb\LabWebProject\LabWebProject\wsgi.py", "Python", 6, 0, 0, 0, 0, -8, 2, 0
"d:\Desktop\LabWeb\LabWebProject\manage.py", "Python", 2, 0, 0, 0, 0, -2, 0, 0
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNavigation.css", "CSS", 0, 0, 0, 0, 49, 0, 2, 51
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNews.css", "CSS", 0, 0, 0, 0, -9, 0, -4, -13
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNewsDetail.css", "CSS", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminSlider.css", "CSS", 0, 0, 0, 0, 317, 0, 44, 361
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminUser.css", "CSS", 0, 0, 0, 0, 207, 0, 28, 235
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminUserDetail.css", "CSS", 0, 0, 0, 0, -2, 0, 0, -2
"d:\Desktop\LabWeb\LabWebProject\static\css\self\main.css", "CSS", 0, 0, 0, 0, 14, 0, -4, 10
"d:\Desktop\LabWeb\LabWebProject\static\css\self\navigation.css", "CSS", 0, 0, 0, 0, 9, 0, 0, 9
"d:\Desktop\LabWeb\LabWebProject\static\css\self\slider.css", "CSS", 0, 0, 0, 0, 14, 0, 1, 15
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datepicker-standalone.css", "CSS", 0, 0, 0, 0, -503, -6, -1, -510
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datepicker.css", "CSS", 0, 0, 0, 0, -470, -6, -1, -477
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap-datetimepicker.css", "CSS", 0, 0, 0, 0, 2, 8, 1, 11
"d:\Desktop\LabWeb\LabWebProject\static\css\tool\bootstrap.css", "CSS", 0, 0, 0, 0, 846, 9, 1, 856
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 0, 0, -18, 0, 0, -2, -20
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminSlider.js", "JavaScript", 0, 0, 0, 145, 0, 0, 23, 168
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUser.js", "JavaScript", 0, 0, 0, 78, 0, 0, 3, 81
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUserDetail.js", "JavaScript", 0, 0, 0, -6, 0, 0, -1, -7
"d:\Desktop\LabWeb\LabWebProject\static\js\self\navigation.js", "JavaScript", 0, 0, 0, -3, 0, 0, 0, -3
"d:\Desktop\LabWeb\LabWebProject\static\js\self\signIn.js", "JavaScript", 0, 0, 0, -21, 0, 0, -2, -23
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker-zh-CN.js", "JavaScript", 0, 0, 0, 12, 0, 4, 1, 17
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap-datetimepicker.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\js\tool\bootstrap.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"d:\Desktop\LabWeb\LabWebProject\static\svg\correct.svg", "SVG", 0, 0, 6, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\templates\adminBase.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 9
"d:\Desktop\LabWeb\LabWebProject\templates\adminSlider.html", "HTML", 0, 114, 0, 0, 0, 0, 0, 114
"d:\Desktop\LabWeb\LabWebProject\templates\adminUser.html", "HTML", 0, 49, 0, 0, 0, 0, 1, 50
"d:\Desktop\LabWeb\LabWebProject\templates\adminUserDetail.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\templates\main.html", "HTML", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\templates\signIn.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 266, 182, 6, 194, 481, -27, 124, 1226
