"filename", "language", "HTML", "SVG", "JavaScript", "CSS", "Python", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0008_researchfield.py", "Python", 0, 0, 0, 0, 15, 1, 6, 22
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0009_thesis.py", "Python", 0, 0, 0, 0, 17, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0010_work.py", "Python", 0, 0, 0, 0, 19, 1, 6, 26
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py", "Python", 0, 0, 0, 0, 17, 0, 5, 22
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 0, 0, 0, 0, 8, 0, 0, 8
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 0, 0, 0, 0, 425, 0, 25, 450
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNavigation.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 5
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNews.css", "CSS", 0, 0, 0, 26, 0, 0, 3, 29
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminNewsDetail.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 10
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminResearchField.css", "CSS", 0, 0, 0, 201, 0, 0, 26, 227
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminResearchThesis.css", "CSS", 0, 0, 0, 271, 0, 0, 37, 308
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminResearchWork.css", "CSS", 0, 0, 0, 180, 0, 0, 26, 206
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminResearchWorkDetail.css", "CSS", 0, 0, 0, 252, 0, 0, 39, 291
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminUser.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"d:\Desktop\LabWeb\LabWebProject\static\css\self\adminUserDetail.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 3
"d:\Desktop\LabWeb\LabWebProject\static\css\self\main.css", "CSS", 0, 0, 0, -2, 0, 0, 0, -2
"d:\Desktop\LabWeb\LabWebProject\static\css\self\navigation.css", "CSS", 0, 0, 0, 67, 0, 0, 10, 77
"d:\Desktop\LabWeb\LabWebProject\static\css\self\newsCategory.css", "CSS", 0, 0, 0, 180, 0, 0, 27, 207
"d:\Desktop\LabWeb\LabWebProject\static\css\self\newsDetail.css", "CSS", 0, 0, 0, 121, 0, 0, 18, 139
"d:\Desktop\LabWeb\LabWebProject\static\css\self\researchField.css", "CSS", 0, 0, 0, 74, 0, 0, 10, 84
"d:\Desktop\LabWeb\LabWebProject\static\css\self\researchThesis.css", "CSS", 0, 0, 0, 115, 0, 0, 17, 132
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNews.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 5
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminNewsDetail.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 3
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminResearchField.js", "JavaScript", 0, 0, 77, 0, 0, 0, 6, 83
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminResearchThesis.js", "JavaScript", 0, 0, 117, 0, 0, 0, 11, 128
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminResearchWork.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 53
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminResearchWorkDetail.js", "JavaScript", 0, 0, 173, 0, 0, 0, 8, 181
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminSlider.js", "JavaScript", 0, 0, 0, 0, 0, 0, -11, -11
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUser.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 7
"d:\Desktop\LabWeb\LabWebProject\static\js\self\adminUserDetail.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2
"d:\Desktop\LabWeb\LabWebProject\static\js\self\footer.js", "JavaScript", 0, 0, 22, 0, 0, 0, 1, 23
"d:\Desktop\LabWeb\LabWebProject\static\js\self\navigation.js", "JavaScript", 0, 0, 50, 0, 0, 39, 5, 94
"d:\Desktop\LabWeb\LabWebProject\static\js\self\newsCategory.js", "JavaScript", 0, 0, 26, 0, 0, 0, 2, 28
"d:\Desktop\LabWeb\LabWebProject\static\js\self\newsDetail.js", "JavaScript", 0, 0, 20, 0, 0, 0, 1, 21
"d:\Desktop\LabWeb\LabWebProject\static\js\self\researchField.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 18
"d:\Desktop\LabWeb\LabWebProject\static\svg\close.svg", "SVG", 0, 6, 0, 0, 0, 1, 5, 12
"d:\Desktop\LabWeb\LabWebProject\static\svg\location.svg", "SVG", 0, 6, 0, 0, 0, 1, 5, 12
"d:\Desktop\LabWeb\LabWebProject\static\svg\navigation.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\to_after.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\static\svg\to_before.svg", "SVG", 0, 6, 0, 0, 0, 0, 0, 6
"d:\Desktop\LabWeb\LabWebProject\templates\adminBase.html", "HTML", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Desktop\LabWeb\LabWebProject\templates\adminNews.html", "HTML", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Desktop\LabWeb\LabWebProject\templates\adminNewsDetail.html", "HTML", -1, 0, 0, 0, 0, 0, 0, -1
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchField.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchThesis.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 60
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchWork.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchWorkDetail.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 71
"d:\Desktop\LabWeb\LabWebProject\templates\base.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 40
"d:\Desktop\LabWeb\LabWebProject\templates\main.html", "HTML", -5, 0, 0, 0, 0, 0, 0, -5
"d:\Desktop\LabWeb\LabWebProject\templates\newsCategory.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 48
"d:\Desktop\LabWeb\LabWebProject\templates\newsDetail.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 35
"d:\Desktop\LabWeb\LabWebProject\templates\researchField.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 21
"d:\Desktop\LabWeb\LabWebProject\templates\researchThesis.html", "HTML", 30, 0, 0, 0, 0, 0, 0, 30
"Total", "-", 377, 30, 572, 1504, 501, 44, 295, 3323
