"filename", "language", "HTML", "SVG", "JavaScript", "Python", "CSS", "SQL", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\admin.py", "Python", 0, 0, 0, 4, 0, 0, 0, 3, 7
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\apps.py", "Python", 0, 0, 0, 4, 0, 0, 0, 3, 7
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0001_initial.py", "Python", 0, 0, 0, 55, 0, 0, 1, 7, 63
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0002_auto_20231013_1256.py", "Python", 0, 0, 0, 17, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0003_remove_students_student_address.py", "Python", 0, 0, 0, 11, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0004_rename_students_student.py", "Python", 0, 0, 0, 11, 0, 0, 1, 6, 18
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0005_student_student_show.py", "Python", 0, 0, 0, 13, 0, 0, 1, 6, 20
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0006_slider.py", "Python", 0, 0, 0, 17, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0007_alter_slider_slider_title.py", "Python", 0, 0, 0, 12, 0, 0, 1, 6, 19
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0008_researchfield.py", "Python", 0, 0, 0, 15, 0, 0, 1, 6, 22
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0009_thesis.py", "Python", 0, 0, 0, 17, 0, 0, 1, 6, 24
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\0010_work.py", "Python", 0, 0, 0, 19, 0, 0, 1, 6, 26
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\models.py", "Python", 0, 0, 0, 60, 0, 0, 0, 13, 73
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\tests.py", "Python", 0, 0, 0, 1, 0, 0, 1, 2, 4
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\urls.py", "Python", 0, 0, 0, 25, 0, 0, 0, 2, 27
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\util.py", "Python", 0, 0, 0, 37, 0, 0, 0, 12, 49
"d:\Desktop\LabWeb\LabWebProject\LabWebApp\views.py", "Python", 0, 0, 0, 1006, 0, 0, 0, 64, 1070
